Company,Project,Task,Status,Task Owner,Due Date,
EMRC,Monthly Scoreboards,"Discuss monthly process with HD",Complete,Aarti Sura,2013-06-12,
EMRC,Monthly Scoreboards,"Monthly Data Collection",Complete,Hannah Davis,2013-05-08,
EMRC,Monthly Scoreboards,"Monthly Data Collection",Complete,Hannah Davis,2013-06-08,
EMRC,Monthly Scoreboards,"Monthly Data Collection",Complete,Hannah Davis,2013-07-08,
EMRC,Monthly Scoreboards,"Monthly Data Collection",Complete,Hannah Davis,2013-08-08,
EMRC,Monthly Scoreboards,"Monthly Data Collection",Not Complete,Hannah Davis,2013-09-08,
EMRC,Monthly Scoreboards,"Monthly Scoreboard Production",Complete,Hannah Davis,2013-05-13,
EMRC,Monthly Scoreboards,"Monthly Scoreboard Production",Complete,Hannah Davis,2013-06-13,
EMRC,Monthly Scoreboards,"Monthly Scoreboard Production",Complete,Hannah Davis,2013-07-13,
EMRC,Monthly Scoreboards,"Monthly Scoreboard Production",Complete,Hannah Davis,2013-08-13,
EMRC,Monthly Scoreboards,"Monthly Scoreboard Production",Not Complete,Hannah Davis,2013-09-13,
EMRC,Monthly Scoreboards,"Scoreboard Excel File Prep",Complete,Hannah Davis,2013-05-01,
EMRC,Monthly Scoreboards,"Scoreboard Excel File Prep",Complete,Hannah Davis,2013-06-01,
EMRC,Monthly Scoreboards,"Scoreboard Excel File Prep",Complete,Hannah Davis,2013-07-01,
EMRC,Monthly Scoreboards,"Scoreboard Excel File Prep",Complete,Hannah Davis,2013-08-01,
EMRC,Monthly Scoreboards,"Scoreboard Excel File Prep",Not Complete,Hannah Davis,2013-09-01,
EMRC,Monthly Scoreboards,"Send Scoreboards",Complete,Hannah Davis,2013-05-15,
EMRC,Monthly Scoreboards,"Send Scoreboards",Complete,Hannah Davis,2013-06-15,
EMRC,Monthly Scoreboards,"Send Scoreboards",Complete,Hannah Davis,2013-07-15,
EMRC,Monthly Scoreboards,"Send Scoreboards",Complete,Hannah Davis,2013-08-15,
EMRC,Monthly Scoreboards,"Send Scoreboards",Not Complete,Hannah Davis,2013-09-15,
EMRC,Monthly Scoreboards,"Collect NAA Qualitative notes and send to AS",Complete,Hannah Davis,2013-05-15,
EMRC,Monthly Scoreboards,"Collect NAA Qualitative notes and send to AS",Complete,Hannah Davis,2013-06-15,
EMRC,Monthly Scoreboards,"Collect NAA Qualitative notes and send to AS",Complete,Hannah Davis,2013-07-15,
EMRC,Monthly Scoreboards,"Collect NAA Qualitative notes and send to AS",Not Complete,Hannah Davis,2013-08-15,
EMRC,Quarterly Report Production,"PMI Quarterly",Complete,Hannah Davis,2013-07-15,
EMRC,Quarterly Report Production,"PMI Quarterly",Not Complete,Hannah Davis,2014-07-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Complete,Hannah Davis,2013-07-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Not Complete,Hannah Davis,2014-07-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Not Complete,Hannah Davis,2014-07-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Not Complete,Hannah Davis,2014-07-15,
EMRC,Quarterly Report Production,"ABB Quarterly",Complete,Hannah Davis,2013-07-15,
EMRC,Quarterly Report Production,"ABB Quarterly",Not Complete,Hannah Davis,2014-07-15,
EMRC,Quarterly Report Production,"PMI Quarterly",Not Complete,Hannah Davis,2013-10-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Not Complete,Hannah Davis,2013-10-15,
EMRC,Quarterly Report Production,"ABB Quarterly",Not Complete,Hannah Davis,2013-10-15,
EMRC,Quarterly Report Production,"PMI Quarterly",Not Complete,Hannah Davis,2014-01-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Not Complete,Hannah Davis,2014-01-15,
EMRC,Quarterly Report Production,"ABB Quarterly",Not Complete,Unassigned,2014-01-15,
EMRC,Quarterly Report Production,"PMI Quarterly",Not Complete,Hannah Davis,2014-04-15,
EMRC,Quarterly Report Production,"ASAE Quarterly",Not Complete,Hannah Davis,2014-04-15,
EMRC,Quarterly Report Production,"ABB Quarterly",Not Complete,Hannah Davis,2014-04-15,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-01,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-02,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-03,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-04,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-06,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-07,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-08,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-09,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-10,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-11,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-12,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-13,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-14,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-15,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-16,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-17,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-18,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-19,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-20,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-21,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-22,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-05-23,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-06,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-08,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-09,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-10,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-11,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-13,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-14,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-15,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-16,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-17,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-18,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-19,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-20,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-21,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-22,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-23,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-24,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-25,
Bill George,Social Updates,"Create social updates and send to Lauren Schwenk",Complete,Hannah Davis,2013-06-26,
